Liste des candidats,Voix,% Inscrits,% Exprimés,Commune
M. Jean-Luc MÉLENCHON,551,16.45,48.93,Basse-Pointe
Mme Marine LE PEN,238,7.1,21.14,Basse-Pointe
M. Emmanuel MACRON,165,4.93,14.65,Basse-Pointe
Mme Valérie PÉCRESSE,42,1.25,3.73,Basse-Pointe
Mme Anne HIDALGO,37,1.1,3.29,Basse-Pointe
M. Nicolas DUPONT-AIGNAN,28,0.84,2.49,Basse-Pointe
Mme Nathalie ARTHAUD,15,0.45,1.33,Basse-Pointe
M. Éric ZEMMOUR,13,0.39,1.15,Basse-Pointe
M. Jean LASSALLE,11,0.33,0.98,Basse-Pointe
M. Yannick JADOT,10,0.3,0.89,Basse-Pointe
M. Fabien ROUSSEL,8,0.24,0.71,Basse-Pointe
M. Philippe POUTOU,8,0.24,0.71,Basse-Pointe
M. Jean-Luc MÉLENCHON,400,24.01,55.4,Bellefontaine
Mme Marine LE PEN,119,7.14,16.48,Bellefontaine
M. Emmanuel MACRON,94,5.64,13.02,Bellefontaine
M. Nicolas DUPONT-AIGNAN,23,1.38,3.19,Bellefontaine
Mme Valérie PÉCRESSE,19,1.14,2.63,Bellefontaine
Mme Anne HIDALGO,16,0.96,2.22,Bellefontaine
M. Yannick JADOT,14,0.84,1.94,Bellefontaine
M. Jean LASSALLE,10,0.6,1.39,Bellefontaine
M. Fabien ROUSSEL,8,0.48,1.11,Bellefontaine
Mme Nathalie ARTHAUD,7,0.42,0.97,Bellefontaine
M. Éric ZEMMOUR,6,0.36,0.83,Bellefontaine
M. Philippe POUTOU,6,0.36,0.83,Bellefontaine
M. Jean-Luc MÉLENCHON,914,26.65,53.45,Case-Pilote
M. Emmanuel MACRON,308,8.98,18.01,Case-Pilote
Mme Marine LE PEN,168,4.9,9.82,Case-Pilote
Mme Valérie PÉCRESSE,89,2.59,5.2,Case-Pilote
M. Éric ZEMMOUR,46,1.34,2.69,Case-Pilote
M. Yannick JADOT,45,1.31,2.63,Case-Pilote
Mme Anne HIDALGO,42,1.22,2.46,Case-Pilote
M. Nicolas DUPONT-AIGNAN,33,0.96,1.93,Case-Pilote
M. Fabien ROUSSEL,20,0.58,1.17,Case-Pilote
Mme Nathalie ARTHAUD,18,0.52,1.05,Case-Pilote
M. Jean LASSALLE,17,0.5,0.99,Case-Pilote
M. Philippe POUTOU,10,0.29,0.58,Case-Pilote
M. Jean-Luc MÉLENCHON,3075,23.11,51.85,Ducos
M. Emmanuel MACRON,852,6.4,14.37,Ducos
Mme Marine LE PEN,720,5.41,12.14,Ducos
Mme Anne HIDALGO,532,4.0,8.97,Ducos
Mme Valérie PÉCRESSE,232,1.74,3.91,Ducos
M. Nicolas DUPONT-AIGNAN,154,1.16,2.6,Ducos
M. Éric ZEMMOUR,97,0.73,1.64,Ducos
M. Yannick JADOT,78,0.59,1.32,Ducos
Mme Nathalie ARTHAUD,69,0.52,1.16,Ducos
M. Jean LASSALLE,59,0.44,0.99,Ducos
M. Philippe POUTOU,36,0.27,0.61,Ducos
M. Fabien ROUSSEL,27,0.2,0.46,Ducos
M. Jean-Luc MÉLENCHON,123,18.22,49.6,Fonds-Saint-Denis
M. Emmanuel MACRON,47,6.96,18.95,Fonds-Saint-Denis
Mme Marine LE PEN,39,5.78,15.73,Fonds-Saint-Denis
Mme Valérie PÉCRESSE,17,2.52,6.85,Fonds-Saint-Denis
M. Nicolas DUPONT-AIGNAN,8,1.19,3.23,Fonds-Saint-Denis
Mme Anne HIDALGO,5,0.74,2.02,Fonds-Saint-Denis
Mme Nathalie ARTHAUD,3,0.44,1.21,Fonds-Saint-Denis
M. Jean LASSALLE,2,0.3,0.81,Fonds-Saint-Denis
M. Yannick JADOT,2,0.3,0.81,Fonds-Saint-Denis
M. Fabien ROUSSEL,1,0.15,0.4,Fonds-Saint-Denis
M. Éric ZEMMOUR,1,0.15,0.4,Fonds-Saint-Denis
M. Philippe POUTOU,0,0.0,0.0,Fonds-Saint-Denis
M. Jean-Luc MÉLENCHON,13229,21.95,54.82,Fort-de-France
M. Emmanuel MACRON,3902,6.47,16.17,Fort-de-France
Mme Marine LE PEN,2734,4.54,11.33,Fort-de-France
Mme Anne HIDALGO,895,1.48,3.71,Fort-de-France
Mme Valérie PÉCRESSE,856,1.42,3.55,Fort-de-France
M. Nicolas DUPONT-AIGNAN,644,1.07,2.67,Fort-de-France
M. Éric ZEMMOUR,619,1.03,2.57,Fort-de-France
M. Yannick JADOT,414,0.69,1.72,Fort-de-France
Mme Nathalie ARTHAUD,274,0.45,1.14,Fort-de-France
M. Jean LASSALLE,209,0.35,0.87,Fort-de-France
M. Philippe POUTOU,203,0.34,0.84,Fort-de-France
M. Fabien ROUSSEL,152,0.25,0.63,Fort-de-France
M. Jean-Luc MÉLENCHON,133,18.34,54.96,Grand'Rivière
M. Emmanuel MACRON,45,6.21,18.6,Grand'Rivière
Mme Marine LE PEN,34,4.69,14.05,Grand'Rivière
Mme Valérie PÉCRESSE,10,1.38,4.13,Grand'Rivière
Mme Anne HIDALGO,7,0.97,2.89,Grand'Rivière
M. Éric ZEMMOUR,6,0.83,2.48,Grand'Rivière
M. Jean LASSALLE,4,0.55,1.65,Grand'Rivière
Mme Nathalie ARTHAUD,1,0.14,0.41,Grand'Rivière
M. Fabien ROUSSEL,1,0.14,0.41,Grand'Rivière
M. Yannick JADOT,1,0.14,0.41,Grand'Rivière
M. Philippe POUTOU,0,0.0,0.0,Grand'Rivière
M. Nicolas DUPONT-AIGNAN,0,0.0,0.0,Grand'Rivière
M. Jean-Luc MÉLENCHON,1562,19.18,50.65,Gros-Morne
Mme Marine LE PEN,572,7.02,18.55,Gros-Morne
M. Emmanuel MACRON,487,5.98,15.79,Gros-Morne
Mme Valérie PÉCRESSE,125,1.54,4.05,Gros-Morne
Mme Anne HIDALGO,82,1.01,2.66,Gros-Morne
M. Nicolas DUPONT-AIGNAN,70,0.86,2.27,Gros-Morne
Mme Nathalie ARTHAUD,68,0.84,2.2,Gros-Morne
M. Éric ZEMMOUR,33,0.41,1.07,Gros-Morne
M. Yannick JADOT,26,0.32,0.84,Gros-Morne
M. Philippe POUTOU,23,0.28,0.75,Gros-Morne
M. Jean LASSALLE,20,0.25,0.65,Gros-Morne
M. Fabien ROUSSEL,16,0.2,0.52,Gros-Morne
M. Jean-Luc MÉLENCHON,251,16.45,47.72,L'Ajoupa-Bouillon
M. Emmanuel MACRON,103,6.75,19.58,L'Ajoupa-Bouillon
Mme Marine LE PEN,82,5.37,15.59,L'Ajoupa-Bouillon
Mme Valérie PÉCRESSE,25,1.64,4.75,L'Ajoupa-Bouillon
M. Nicolas DUPONT-AIGNAN,17,1.11,3.23,L'Ajoupa-Bouillon
Mme Anne HIDALGO,14,0.92,2.66,L'Ajoupa-Bouillon
Mme Nathalie ARTHAUD,10,0.66,1.9,L'Ajoupa-Bouillon
M. Philippe POUTOU,9,0.59,1.71,L'Ajoupa-Bouillon
M. Éric ZEMMOUR,6,0.39,1.14,L'Ajoupa-Bouillon
